Site Name,Day,Hour,Solar Zenith Angle,Clearsky DHI,Clearsky DNI,Clearsky GHI,Relative Humidity,DHI,DNI,GHI,Energy Output(kWh),Datetime
site1,3,11,21.8,145.83,935.9,962.61,25.5,149.64,887.43,1009.41,4.8,2023-01-03 11:00:00
site1,3,12,34.22,166.78,793.58,824.39,24.98,167.68,807.98,870.18,6.9,2023-01-03 12:00:00
site1,3,13,45.75,157.14,775.92,657.6,27.42,160.41,782.08,644.03,0.94,2023-01-03 13:00:00
site1,3,14,60.06,126.25,662.73,433.63,30.32,128.84,641.57,431.0,1.4,2023-01-03 14:00:00
site1,3,15,72.86,88.48,420.45,186.32,32.63,75.45,3.09,78.38,4.8,2023-01-03 15:00:00
site1,3,16,87.7,0.0,0.0,0.0,40.71,0.0,0.0,0.0,4.88,2023-01-03 16:00:00
site1,3,17,102.34,0.0,0.0,0.0,44.23,0.0,0.0,0.0,2.08,2023-01-03 17:00:00
site1,3,18,116.53,0.0,0.0,0.0,44.6,0.0,0.0,0.0,0.74,2023-01-03 18:00:00
site1,3,19,132.66,0.0,0.0,0.0,49.15,0.0,0.0,0.0,0.36,2023-01-03 19:00:00
site1,3,20,146.52,0.0,0.0,0.0,51.23,0.0,0.0,0.0,0.02,2023-01-03 20:00:00
site1,3,21,150.02,0.0,0.0,0.0,51.66,0.0,0.0,0.0,0.0,2023-01-03 21:00:00
site1,3,22,148.18,0.0,0.0,0.0,57.67,0.0,0.0,0.0,0.0,2023-01-03 22:00:00
site1,3,23,147.48,0.0,0.0,0.0,56.96,0.0,0.0,0.0,0.0,2023-01-03 23:00:00
site1,4,0,138.72,0.0,0.0,0.0,60.58,0.0,0.0,0.0,0.0,2023-01-04 00:00:00
site1,4,1,124.55,0.0,0.0,0.0,65.67,0.0,0.0,0.0,0.0,2023-01-04 01:00:00
site1,4,2,116.34,0.0,0.0,0.0,65.68,0.0,0.0,0.0,0.0,2023-01-04 02:00:00
site1,4,3,99.13,0.0,0.0,0.0,68.02,0.0,0.0,0.0,0.0,2023-01-04 03:00:00
site1,4,4,83.8,29.26,132.43,38.42,61.6,23.69,0.0,24.19,0.0,2023-01-04 04:00:00
site1,4,5,71.92,93.68,547.87,247.56,51.01,44.74,0.0,46.3,0.24,2023-01-04 05:00:00
site1,4,6,55.62,111.49,730.77,490.35,42.32,257.88,189.25,358.22,0.96,2023-01-04 06:00:00
site1,4,7,42.89,126.36,831.13,733.32,37.83,262.75,420.86,555.23,3.2,2023-01-04 07:00:00
site1,4,8,30.25,128.62,931.93,929.72,30.51,385.85,379.2,683.6,5.88,2023-01-04 08:00:00
site1,4,9,18.88,138.27,919.87,1026.6,26.57,417.33,300.82,706.27,6.52,2023-01-04 09:00:00
site1,4,10,14.75,131.93,942.82,1044.33,25.78,523.87,164.39,661.47,6.94,2023-01-04 10:00:00
site1,4,11,22.78,127.22,905.1,976.63,23.49,487.37,87.17,547.93,8.64,2023-01-04 11:00:00
site1,4,12,33.2,140.1,847.5,849.39,24.81,143.21,837.7,843.13,10.16,2023-01-04 12:00:00
site1,4,13,47.15,129.11,835.14,650.63,25.67,349.6,68.28,393.35,8.98,2023-01-04 13:00:00
site1,4,14,61.97,109.06,708.83,454.86,28.09,249.43,37.79,268.58,7.16,2023-01-04 14:00:00
site1,4,15,74.3,68.54,518.7,195.08,36.97,76.17,0.0,74.33,4.24,2023-01-04 15:00:00
site1,4,16,89.72,0.0,0.0,0.0,47.0,0.0,0.0,0.0,3.68,2023-01-04 16:00:00
site1,4,17,104.7,0.0,0.0,0.0,49.82,0.0,0.0,0.0,1.96,2023-01-04 17:00:00
site1,4,18,113.72,0.0,0.0,0.0,51.81,0.0,0.0,0.0,0.42,2023-01-04 18:00:00
site1,4,19,128.4,0.0,0.0,0.0,53.23,0.0,0.0,0.0,0.08,2023-01-04 19:00:00
site1,4,20,144.19,0.0,0.0,0.0,50.83,0.0,0.0,0.0,0.0,2023-01-04 20:00:00
site1,4,21,154.99,0.0,0.0,0.0,50.38,0.0,0.0,0.0,0.0,2023-01-04 21:00:00
site1,4,22,151.13,0.0,0.0,0.0,55.01,0.0,0.0,0.0,0.0,2023-01-04 22:00:00
site1,4,23,142.23,0.0,0.0,0.0,56.58,0.0,0.0,0.0,0.0,2023-01-04 23:00:00
site1,5,0,136.41,0.0,0.0,0.0,59.14,0.0,0.0,0.0,0.0,2023-01-05 00:00:00
site1,5,1,123.57,0.0,0.0,0.0,61.03,0.0,0.0,0.0,0.0,2023-01-05 01:00:00
site1,5,2,113.46,0.0,0.0,0.0,65.22,0.0,0.0,0.0,0.0,2023-01-05 02:00:00
site1,5,3,97.32,0.0,0.0,0.0,61.81,0.0,0.0,0.0,0.0,2023-01-05 03:00:00
site1,5,4,83.32,25.99,250.4,42.94,55.66,28.4,0.0,28.34,0.0,2023-01-05 04:00:00
site1,5,5,72.49,71.39,663.83,277.29,44.36,135.91,6.78,145.09,0.18,2023-01-05 05:00:00
site1,5,6,57.85,93.12,809.22,515.8,37.52,93.91,819.11,499.29,0.92,2023-01-05 06:00:00
site1,5,7,42.86,107.59,890.67,727.63,30.91,106.7,899.12,763.22,3.0,2023-01-05 07:00:00
site1,5,8,31.92,111.59,943.99,937.19,28.31,248.68,625.41,760.2,6.06,2023-01-05 08:00:00
site1,5,9,20.25,121.22,962.16,1046.8,25.81,112.71,928.92,1021.15,8.28,2023-01-05 09:00:00
site1,5,10,14.78,112.03,944.35,1062.32,25.15,117.44,954.85,1077.1,9.7,2023-01-05 10:00:00
site1,5,11,22.68,107.38,961.71,1003.57,23.73,107.62,1005.64,1028.63,10.78,2023-01-05 11:00:00
site1,5,12,34.0,107.88,978.85,857.59,22.33,105.43,973.37,862.94,8.94,2023-01-05 12:00:00
site1,5,13,47.39,96.03,914.43,718.8,22.62,97.98,869.76,720.06,6.24,2023-01-05 13:00:00
site1,5,14,63.66,79.02,789.74,469.8,24.08,77.99,820.67,460.92,4.28,2023-01-05 14:00:00
site1,5,15,78.84,56.54,632.11,202.69,28.15,52.93,644.03,201.29,4.26,2023-01-05 15:00:00
site1,5,16,91.32,0.0,0.0,0.0,35.97,0.0,0.0,0.0,3.34,2023-01-05 16:00:00
site1,5,17,106.31,0.0,0.0,0.0,38.43,0.0,0.0,0.0,1.58,2023-01-05 17:00:00
site1,5,18,113.68,0.0,0.0,0.0,42.04,0.0,0.0,0.0,0.9,2023-01-05 18:00:00
site1,5,19,130.36,0.0,0.0,0.0,44.4,0.0,0.0,0.0,0.14,2023-01-05 19:00:00
site1,5,20,143.16,0.0,0.0,0.0,50.5,0.0,0.0,0.0,0.0,2023-01-05 20:00:00
site1,5,21,152.49,0.0,0.0,0.0,54.38,0.0,0.0,0.0,0.0,2023-01-05 21:00:00
site1,5,22,148.49,0.0,0.0,0.0,58.77,0.0,0.0,0.0,0.0,2023-01-05 22:00:00
site1,5,23,149.65,0.0,0.0,0.0,60.54,0.0,0.0,0.0,0.0,2023-01-05 23:00:00
site1,6,0,141.17,0.0,0.0,0.0,62.4,0.0,0.0,0.0,0.0,2023-01-06 00:00:00
site1,6,1,126.65,0.0,0.0,0.0,61.42,0.0,0.0,0.0,0.0,2023-01-06 01:00:00
site1,6,2,110.75,0.0,0.0,0.0,68.96,0.0,0.0,0.0,0.0,2023-01-06 02:00:00
site1,6,3,98.68,0.0,0.0,0.0,72.64,0.0,0.0,0.0,0.0,2023-01-06 03:00:00
site1,6,4,83.58,24.48,286.05,46.87,79.67,31.76,0.97,32.94,0.0,2023-01-06 04:00:00
site1,6,5,69.48,62.29,691.9,275.69,71.53,55.59,0.0,54.64,0.18,2023-01-06 05:00:00
site1,6,6,57.36,75.93,880.88,529.94,57.26,219.78,6.06,226.87,0.5,2023-01-06 06:00:00
site1,6,7,44.24,88.99,910.81,762.55,47.16,87.82,916.24,742.9,0.72,2023-01-06 07:00:00
site1,6,8,30.73,94.23,994.75,955.24,36.73,91.18,1008.41,902.83,0.92,2023-01-06 08:00:00
site1,6,9,19.31,97.95,992.82,1062.64,32.66,93.4,1005.58,997.41,1.34,2023-01-06 09:00:00
site1,6,10,16.26,94.83,1042.11,1056.81,31.0,94.65,1006.6,1033.39,1.9,2023-01-06 10:00:00
site1,6,11,22.65,96.44,992.74,1000.66,28.9,90.76,958.54,976.95,2.18,2023-01-06 11:00:00
site1,6,12,35.35,97.28,926.71,890.76,29.91,100.58,971.31,896.77,2.5,2023-01-06 12:00:00
site1,6,13,47.69,96.79,902.5,670.63,30.44,96.49,893.14,704.5,1.96,2023-01-06 13:00:00
site1,6,14,61.49,80.13,769.21,456.0,33.47,85.61,807.56,443.85,4.04,2023-01-06 14:00:00
site1,6,15,77.84,56.93,556.39,201.24,39.95,47.06,0.0,46.15,3.32,2023-01-06 15:00:00
site1,6,16,87.58,0.0,0.0,0.0,45.51,0.0,0.0,0.0,4.12,2023-01-06 16:00:00
site1,6,17,99.91,0.0,0.0,0.0,50.97,0.0,0.0,0.0,1.14,2023-01-06 17:00:00
site1,6,18,117.92,0.0,0.0,0.0,59.66,0.0,0.0,0.0,0.48,2023-01-06 18:00:00
site1,6,19,128.56,0.0,0.0,0.0,62.14,0.0,0.0,0.0,0.16,2023-01-06 19:00:00
site1,6,20,144.18,0.0,0.0,0.0,65.28,0.0,0.0,0.0,0.0,2023-01-06 20:00:00
site1,6,21,151.61,0.0,0.0,0.0,70.97,0.0,0.0,0.0,0.0,2023-01-06 21:00:00
site1,6,22,158.05,0.0,0.0,0.0,73.69,0.0,0.0,0.0,0.0,2023-01-06 22:00:00
site1,6,23,148.04,0.0,0.0,0.0,82.57,0.0,0.0,0.0,0.0,2023-01-06 23:00:00
site1,7,0,134.19,0.0,0.0,0.0,79.88,0.0,0.0,0.0,0.0,2023-01-07 00:00:00
site1,7,1,123.67,0.0,0.0,0.0,87.99,0.0,0.0,0.0,0.0,2023-01-07 01:00:00
site1,7,2,110.69,0.0,0.0,0.0,91.31,0.0,0.0,0.0,0.0,2023-01-07 02:00:00
site1,7,3,102.35,0.0,0.0,0.0,91.48,0.0,0.0,0.0,0.0,2023-01-07 03:00:00
site1,7,4,83.65,27.6,189.8,40.11,85.26,26.2,197.12,40.75,0.0,2023-01-07 04:00:00
site1,7,5,71.9,72.04,604.19,265.61,72.39,68.26,616.06,270.18,0.12,2023-01-07 05:00:00
site1,7,6,57.57,89.89,813.76,508.02,62.58,88.06,826.17,527.41,0.92,2023-01-07 06:00:00
site1,7,7,44.93,94.89,862.72,742.06,51.61,98.62,927.83,744.37,1.08,2023-01-07 07:00:00
site1,7,8,31.73,101.67,970.47,904.5,41.89,447.35,118.96,561.6,0.56,2023-01-07 08:00:00
site1,7,9,20.76,118.37,913.68,1032.45,38.96,521.79,215.83,725.5,2.68,2023-01-07 09:00:00
site1,7,10,15.7,116.51,909.95,1064.8,38.24,116.55,955.59,1024.46,6.68,2023-01-07 10:00:00
site1,7,11,22.5,111.63,941.54,994.59,35.16,507.69,188.73,711.54,6.3,2023-01-07 11:00:00
site1,7,12,34.46,129.55,853.32,853.31,36.23,360.26,7.87,367.97,5.08,2023-01-07 12:00:00
site1,7,13,47.55,109.88,854.78,657.59,36.81,96.51,0.0,90.65,6.24,2023-01-07 13:00:00
site1,7,14,61.67,81.53,754.5,419.11,37.89,204.73,123.23,257.88,5.64,2023-01-07 14:00:00
site1,7,15,75.27,56.53,569.42,194.67,43.42,54.37,562.96,184.42,3.22,2023-01-07 15:00:00
site1,7,16,92.78,0.0,0.0,0.0,50.1,0.0,0.0,0.0,4.52,2023-01-07 16:00:00
site1,7,17,105.92,0.0,0.0,0.0,54.64,0.0,0.0,0.0,1.34,2023-01-07 17:00:00
site1,7,18,117.82,0.0,0.0,0.0,60.05,0.0,0.0,0.0,0.54,2023-01-07 18:00:00
site1,7,19,125.99,0.0,0.0,0.0,62.83,0.0,0.0,0.0,0.02,2023-01-07 19:00:00
site1,7,20,147.42,0.0,0.0,0.0,63.38,0.0,0.0,0.0,0.0,2023-01-07 20:00:00
site1,7,21,152.07,0.0,0.0,0.0,69.27,0.0,0.0,0.0,0.0,2023-01-07 21:00:00
site1,7,22,157.78,0.0,0.0,0.0,73.03,0.0,0.0,0.0,0.0,2023-01-07 22:00:00
site1,7,23,149.88,0.0,0.0,0.0,75.41,0.0,0.0,0.0,0.0,2023-01-07 23:00:00
site1,8,0,144.28,0.0,0.0,0.0,77.86,0.0,0.0,0.0,0.0,2023-01-08 00:00:00
site1,8,1,129.76,0.0,0.0,0.0,80.29,0.0,0.0,0.0,0.0,2023-01-08 01:00:00
site1,8,2,110.57,0.0,0.0,0.0,83.41,0.0,0.0,0.0,0.0,2023-01-08 02:00:00
site1,8,3,99.74,0.0,0.0,0.0,83.46,0.0,0.0,0.0,0.0,2023-01-08 03:00:00
site1,8,4,84.45,23.66,241.14,42.21,74.64,24.03,247.34,41.25,0.0,2023-01-08 04:00:00
site1,8,5,74.78,63.16,633.55,268.09,64.58,64.87,647.29,254.7,0.4,2023-01-08 05:00:00
site1,8,6,58.21,83.35,789.57,522.97,49.29,87.76,783.83,494.8,1.16,2023-01-08 06:00:00
site1,8,7,45.98,97.41,888.06,700.73,43.09,98.38,861.8,700.75,2.32,2023-01-08 07:00:00
site1,8,8,30.83,109.68,891.5,874.17,39.18,104.96,931.81,916.26,4.62,2023-01-08 08:00:00
site1,8,9,20.25,101.11,944.27,975.46,37.26,103.51,963.91,980.83,5.86,2023-01-08 09:00:00
site1,8,10,15.84,104.88,960.01,1038.63,34.96,518.65,183.6,693.22,5.32,2023-01-08 10:00:00
site1,8,11,24.06,101.58,985.04,951.79,33.84,309.6,0.96,297.89,6.02,2023-01-08 11:00:00
site1,8,12,34.25,100.98,884.16,841.69,35.09,449.78,116.77,551.03,5.56,2023-01-08 12:00:00
site1,8,13,46.9,91.07,848.28,691.58,33.84,308.07,168.01,418.69,4.28,2023-01-08 13:00:00
site1,8,14,63.41,77.09,794.94,450.96,37.7,65.83,0.0,64.31,5.0,2023-01-08 14:00:00
site1,8,15,73.47,53.7,553.98,189.02,41.51,39.71,0.0,40.4,4.76,2023-01-08 15:00:00
site1,8,16,91.28,0.0,0.0,0.0,50.18,0.0,0.0,0.0,1.8,2023-01-08 16:00:00
site1,8,17,101.05,0.0,0.0,0.0,55.6,0.0,0.0,0.0,0.16,2023-01-08 17:00:00
site1,8,18,115.78,0.0,0.0,0.0,56.46,0.0,0.0,0.0,0.0,2023-01-08 18:00:00
site1,8,19,130.96,0.0,0.0,0.0,62.26,0.0,0.0,0.0,0.0,2023-01-08 19:00:00
site1,8,20,139.0,0.0,0.0,0.0,62.37,0.0,0.0,0.0,0.0,2023-01-08 20:00:00
site1,8,21,154.63,0.0,0.0,0.0,67.9,0.0,0.0,0.0,0.0,2023-01-08 21:00:00
site1,8,22,157.26,0.0,0.0,0.0,66.66,0.0,0.0,0.0,0.0,2023-01-08 22:00:00
site1,8,23,148.15,0.0,0.0,0.0,70.83,0.0,0.0,0.0,0.0,2023-01-08 23:00:00
site1,9,0,142.09,0.0,0.0,0.0,75.09,0.0,0.0,0.0,0.0,2023-01-09 00:00:00
site1,9,1,130.1,0.0,0.0,0.0,78.36,0.0,0.0,0.0,0.0,2023-01-09 01:00:00
site1,9,2,114.86,0.0,0.0,0.0,81.46,0.0,0.0,0.0,0.0,2023-01-09 02:00:00
site1,9,3,97.48,0.0,0.0,0.0,79.63,0.0,0.0,0.0,0.0,2023-01-09 03:00:00
site1,9,4,86.01,24.13,232.31,38.75,76.55,30.24,5.15,30.64,0.0,2023-01-09 04:00:00
site1,9,5,69.74,64.6,631.7,254.01,64.08,67.32,637.93,263.77,0.3,2023-01-09 05:00:00
site1,9,6,58.78,84.32,801.3,499.46,48.91,213.64,355.1,383.84,0.92,2023-01-09 06:00:00
site1,9,7,44.23,101.31,866.57,723.56,43.52,335.46,251.68,484.65,1.72,2023-01-09 07:00:00
site1,9,8,31.71,106.1,908.05,918.77,35.42,313.3,533.27,752.45,2.84,2023-01-09 08:00:00
site1,9,9,20.34,112.03,982.19,1015.3,29.85,369.12,492.87,845.58,2.38,2023-01-09 09:00:00
site1,9,10,17.48,111.76,977.58,1007.82,27.53,107.85,997.42,994.86,3.7,2023-01-09 10:00:00
site1,9,11,22.98,106.43,948.42,994.44,25.52,111.69,950.49,993.38,3.78,2023-01-09 11:00:00
site1,9,12,34.87,108.21,951.1,829.18,25.71,108.95,956.12,830.02,6.7,2023-01-09 12:00:00
site1,9,13,50.74,95.34,882.56,665.95,28.14,96.88,902.21,683.55,5.42,2023-01-09 13:00:00
site1,9,14,62.29,79.78,749.75,424.36,29.97,79.73,743.9,437.09,3.46,2023-01-09 14:00:00
site1,9,15,75.71,59.48,564.65,179.15,35.96,59.13,567.85,186.0,2.64,2023-01-09 15:00:00
site1,9,16,88.49,0.0,0.0,0.0,41.5,0.0,0.0,0.0,2.58,2023-01-09 16:00:00
site1,9,17,107.29,0.0,0.0,0.0,45.62,0.0,0.0,0.0,2.14,2023-01-09 17:00:00
site1,9,18,118.21,0.0,0.0,0.0,46.26,0.0,0.0,0.0,0.58,2023-01-09 18:00:00
site1,9,19,131.22,0.0,0.0,0.0,49.59,0.0,0.0,0.0,0.06,2023-01-09 19:00:00
site1,9,20,143.85,0.0,0.0,0.0,53.08,0.0,0.0,0.0,0.0,2023-01-09 20:00:00
site1,9,21,150.54,0.0,0.0,0.0,56.64,0.0,0.0,0.0,0.0,2023-01-09 21:00:00
site1,9,22,149.33,0.0,0.0,0.0,56.47,0.0,0.0,0.0,0.0,2023-01-09 22:00:00
site1,9,23,154.9,0.0,0.0,0.0,58.96,0.0,0.0,0.0,0.0,2023-01-09 23:00:00
site1,10,0,143.96,0.0,0.0,0.0,62.13,0.0,0.0,0.0,0.0,2023-01-10 00:00:00
site1,10,1,130.51,0.0,0.0,0.0,64.06,0.0,0.0,0.0,0.0,2023-01-10 01:00:00
site1,10,2,112.2,0.0,0.0,0.0,68.68,0.0,0.0,0.0,0.0,2023-01-10 02:00:00
site1,10,3,101.82,0.0,0.0,0.0,72.37,0.0,0.0,0.0,0.0,2023-01-10 03:00:00
site1,10,4,85.44,20.91,341.32,44.35,66.43,21.39,335.54,43.54,0.0,2023-01-10 04:00:00
site1,10,5,74.99,56.07,723.8,269.75,55.01,54.01,708.59,283.43,0.22,2023-01-10 05:00:00
site1,10,6,57.14,70.32,871.03,529.35,45.62,74.75,853.73,529.7,0.86,2023-01-10 06:00:00
site1,10,7,44.34,82.16,961.37,725.46,37.5,83.26,909.56,727.35,1.54,2023-01-10 07:00:00
site1,10,8,31.22,93.44,1007.24,946.12,35.01,92.24,1004.78,916.47,3.5,2023-01-10 08:00:00
site1,10,9,21.65,95.61,970.98,1017.17,30.77,99.59,981.62,1046.3,4.38,2023-01-10 09:00:00
site1,10,10,16.7,103.84,1033.1,1039.86,27.52,103.29,986.26,1024.39,5.12,2023-01-10 10:00:00
site1,10,11,24.22,99.61,978.81,970.42,26.16,98.06,998.66,1015.04,2.86,2023-01-10 11:00:00
site1,10,12,37.06,96.93,993.99,896.01,25.37,91.42,983.42,842.73,2.68,2023-01-10 12:00:00
site1,10,13,49.35,86.29,890.3,662.56,26.43,87.44,910.9,708.62,4.72,2023-01-10 13:00:00
site1,10,14,64.54,70.54,834.08,440.4,28.39,75.9,813.74,455.47,2.88,2023-01-10 14:00:00
site1,10,15,74.82,49.35,590.76,192.03,34.37,52.6,630.68,184.3,1.16,2023-01-10 15:00:00
site1,10,16,94.41,0.0,0.0,0.0,41.56,0.0,0.0,0.0,0.68,2023-01-10 16:00:00
site1,10,17,106.62,0.0,0.0,0.0,44.54,0.0,0.0,0.0,1.02,2023-01-10 17:00:00
site1,10,18,115.64,0.0,0.0,0.0,47.7,0.0,0.0,0.0,0.56,2023-01-10 18:00:00
site1,10,19,130.58,0.0,0.0,0.0,50.49,0.0,0.0,0.0,0.08,2023-01-10 19:00:00
site1,10,20,148.41,0.0,0.0,0.0,51.22,0.0,0.0,0.0,0.0,2023-01-10 20:00:00
site1,10,21,155.47,0.0,0.0,0.0,57.01,0.0,0.0,0.0,0.0,2023-01-10 21:00:00
site1,10,22,158.29,0.0,0.0,0.0,59.46,0.0,0.0,0.0,0.0,2023-01-10 22:00:00
site1,10,23,147.62,0.0,0.0,0.0,59.29,0.0,0.0,0.0,0.0,2023-01-10 23:00:00
site1,11,0,140.5,0.0,0.0,0.0,61.43,0.0,0.0,0.0,0.0,2023-01-11 00:00:00
site1,11,1,130.52,0.0,0.0,0.0,64.53,0.0,0.0,0.0,0.0,2023-01-11 01:00:00
site1,11,2,117.26,0.0,0.0,0.0,68.27,0.0,0.0,0.0,0.0,2023-01-11 02:00:00
site1,11,3,100.39,0.0,0.0,0.0,68.13,0.0,0.0,0.0,0.0,2023-01-11 03:00:00
site1,11,4,88.45,22.2,279.12,41.76,63.18,22.79,295.88,40.46,0.0,2023-01-11 04:00:00
site1,11,5,73.37,58.34,717.95,269.39,51.32,61.33,702.66,275.39,0.26,2023-01-11 05:00:00
