Site Name,Day,Hour,Total Energy(kWh),Datetime
site1,7,7,4.61,2023-01-07 07:00:00
site1,7,8,4.62,2023-01-07 08:00:00
site1,7,9,4.61,2023-01-07 09:00:00
site1,7,10,4.65,2023-01-07 10:00:00
site1,7,11,4.7,2023-01-07 11:00:00
site1,7,12,4.78,2023-01-07 12:00:00
site1,7,13,4.79,2023-01-07 13:00:00
site1,7,14,4.78,2023-01-07 14:00:00
site1,7,15,4.84,2023-01-07 15:00:00
site1,7,16,4.86,2023-01-07 16:00:00
site1,7,17,4.66,2023-01-07 17:00:00
site1,7,18,4.81,2023-01-07 18:00:00
site1,7,19,4.99,2023-01-07 19:00:00
site1,7,20,5.01,2023-01-07 20:00:00
site1,7,21,5.0,2023-01-07 21:00:00
site1,7,22,4.88,2023-01-07 22:00:00
site1,7,23,4.63,2023-01-07 23:00:00
site1,8,0,4.355,2023-01-08 00:00:00
site1,8,1,4.355,2023-01-08 01:00:00
site1,8,2,4.21,2023-01-08 02:00:00
site1,8,3,4.19,2023-01-08 03:00:00
site1,8,4,4.34,2023-01-08 04:00:00
site1,8,5,4.43,2023-01-08 05:00:00
site1,8,6,4.49,2023-01-08 06:00:00
site1,8,7,4.54,2023-01-08 07:00:00
site1,8,8,4.63,2023-01-08 08:00:00
site1,8,9,4.66,2023-01-08 09:00:00
site1,8,10,4.68,2023-01-08 10:00:00
site1,8,11,4.69,2023-01-08 11:00:00
site1,8,12,4.64,2023-01-08 12:00:00
site1,8,13,4.74,2023-01-08 13:00:00
site1,8,14,4.77,2023-01-08 14:00:00
site1,8,15,4.81,2023-01-08 15:00:00
site1,8,16,4.83,2023-01-08 16:00:00
site1,8,17,4.79,2023-01-08 17:00:00
site1,8,18,4.8,2023-01-08 18:00:00
site1,8,19,4.87,2023-01-08 19:00:00
site1,8,20,4.91,2023-01-08 20:00:00
site1,8,21,4.84,2023-01-08 21:00:00
site1,8,22,4.76,2023-01-08 22:00:00
site1,8,23,4.61,2023-01-08 23:00:00
site1,9,0,4.37,2023-01-09 00:00:00
site1,9,1,4.22,2023-01-09 01:00:00
site1,9,2,4.16,2023-01-09 02:00:00
site1,9,3,4.14,2023-01-09 03:00:00
site1,9,4,4.27,2023-01-09 04:00:00
site1,9,5,4.36,2023-01-09 05:00:00
site1,9,6,4.52,2023-01-09 06:00:00
site1,9,7,4.68,2023-01-09 07:00:00
site1,9,8,4.88,2023-01-09 08:00:00
site1,9,9,4.83,2023-01-09 09:00:00
site1,9,10,4.86,2023-01-09 10:00:00
site1,9,11,4.82,2023-01-09 11:00:00
site1,9,12,4.84,2023-01-09 12:00:00
site1,9,13,4.96,2023-01-09 13:00:00
site1,9,14,4.89,2023-01-09 14:00:00
site1,9,15,4.86,2023-01-09 15:00:00
site1,9,16,4.89,2023-01-09 16:00:00
site1,9,17,4.99,2023-01-09 17:00:00
site1,9,18,4.89,2023-01-09 18:00:00
site1,9,19,5.04,2023-01-09 19:00:00
site1,9,20,5.0,2023-01-09 20:00:00
site1,9,21,5.01,2023-01-09 21:00:00
site1,9,22,4.93,2023-01-09 22:00:00
site1,9,23,4.7,2023-01-09 23:00:00
site1,10,0,4.335,2023-01-10 00:00:00
site1,10,1,4.335,2023-01-10 01:00:00
site1,10,2,4.15,2023-01-10 02:00:00
site1,10,3,4.16,2023-01-10 03:00:00
site1,10,4,4.17,2023-01-10 04:00:00
site1,10,5,4.39,2023-01-10 05:00:00
site1,10,6,4.51,2023-01-10 06:00:00
site1,10,7,4.69,2023-01-10 07:00:00
site1,10,8,4.9,2023-01-10 08:00:00
site1,10,9,4.97,2023-01-10 09:00:00
site1,10,10,5.01,2023-01-10 10:00:00
site1,10,11,4.93,2023-01-10 11:00:00
site1,10,12,4.84,2023-01-10 12:00:00
site1,10,13,4.94,2023-01-10 13:00:00
site1,10,14,4.95,2023-01-10 14:00:00
site1,10,15,4.97,2023-01-10 15:00:00
site1,10,16,4.86,2023-01-10 16:00:00
site1,10,17,4.96,2023-01-10 17:00:00
site1,10,18,4.88,2023-01-10 18:00:00
site1,10,19,4.94,2023-01-10 19:00:00
site1,10,20,4.99,2023-01-10 20:00:00
site1,10,21,5.03,2023-01-10 21:00:00
site1,10,22,4.87,2023-01-10 22:00:00
site1,10,23,4.53,2023-01-10 23:00:00
site1,11,0,4.25,2023-01-11 00:00:00
site1,11,1,4.25,2023-01-11 01:00:00
site1,11,2,4.21,2023-01-11 02:00:00
site1,11,3,4.18,2023-01-11 03:00:00
site1,11,4,4.16,2023-01-11 04:00:00
site1,11,5,4.41,2023-01-11 05:00:00
site1,11,6,4.65,2023-01-11 06:00:00
site1,11,7,4.65,2023-01-11 07:00:00
site1,11,8,4.63,2023-01-11 08:00:00
site1,11,9,4.6,2023-01-11 09:00:00
site1,11,10,4.65,2023-01-11 10:00:00
site1,11,11,4.72,2023-01-11 11:00:00
site1,11,12,4.73,2023-01-11 12:00:00
site1,11,13,4.7,2023-01-11 13:00:00
site1,11,14,4.81,2023-01-11 14:00:00
site1,11,15,4.91,2023-01-11 15:00:00
site1,11,16,5.03,2023-01-11 16:00:00
site1,11,17,5.02,2023-01-11 17:00:00
site1,11,18,4.88,2023-01-11 18:00:00
site1,11,19,5.01,2023-01-11 19:00:00
site1,11,20,5.01,2023-01-11 20:00:00
site1,11,21,4.82,2023-01-11 21:00:00
site1,11,22,4.6,2023-01-11 22:00:00
site1,11,23,4.43,2023-01-11 23:00:00
site1,12,0,4.46,2023-01-12 00:00:00
site1,12,1,4.57,2023-01-12 01:00:00
site1,12,2,4.29,2023-01-12 02:00:00
site1,12,3,4.32,2023-01-12 03:00:00
site1,12,4,4.35,2023-01-12 04:00:00
site1,12,5,4.39,2023-01-12 05:00:00
site1,12,6,4.61,2023-01-12 06:00:00
site1,12,7,4.65,2023-01-12 07:00:00
site1,12,8,4.7,2023-01-12 08:00:00
site1,12,9,4.61,2023-01-12 09:00:00
site1,12,10,4.65,2023-01-12 10:00:00
site1,12,11,4.64,2023-01-12 11:00:00
site1,12,12,4.62,2023-01-12 12:00:00
site1,12,13,4.58,2023-01-12 13:00:00
site1,12,14,4.72,2023-01-12 14:00:00
site1,12,15,4.78,2023-01-12 15:00:00
site1,12,16,4.88,2023-01-12 16:00:00
site1,12,17,4.96,2023-01-12 17:00:00
site1,12,18,4.81,2023-01-12 18:00:00
site1,12,19,4.95,2023-01-12 19:00:00
site1,12,20,5.01,2023-01-12 20:00:00
site1,12,21,4.88,2023-01-12 21:00:00
site1,12,22,4.75,2023-01-12 22:00:00
site1,12,23,4.47,2023-01-12 23:00:00
site1,13,0,4.285,2023-01-13 00:00:00
site1,13,1,4.285,2023-01-13 01:00:00
site1,13,2,4.17,2023-01-13 02:00:00
site1,13,3,4.16,2023-01-13 03:00:00
site1,13,4,4.17,2023-01-13 04:00:00
site1,13,5,4.42,2023-01-13 05:00:00
site1,13,6,4.59,2023-01-13 06:00:00
site1,13,7,4.63,2023-01-13 07:00:00
site1,13,8,4.61,2023-01-13 08:00:00
site1,13,9,4.62,2023-01-13 09:00:00
site1,13,10,4.67,2023-01-13 10:00:00
site1,13,11,4.69,2023-01-13 11:00:00
site1,13,12,4.69,2023-01-13 12:00:00
site1,13,13,4.52,2023-01-13 13:00:00
site1,13,14,4.75,2023-01-13 14:00:00
site1,13,15,4.64,2023-01-13 15:00:00
site1,13,16,4.8,2023-01-13 16:00:00
site1,13,17,4.86,2023-01-13 17:00:00
site1,13,18,4.84,2023-01-13 18:00:00
site1,13,19,4.92,2023-01-13 19:00:00
site1,13,20,4.91,2023-01-13 20:00:00
site1,13,21,4.91,2023-01-13 21:00:00
site1,13,22,4.71,2023-01-13 22:00:00
site1,13,23,4.415,2023-01-13 23:00:00
site1,14,0,4.415,2023-01-14 00:00:00
site1,14,1,4.21,2023-01-14 01:00:00
site1,14,2,4.17,2023-01-14 02:00:00
site1,14,3,4.18,2023-01-14 03:00:00
site1,14,4,4.19,2023-01-14 04:00:00
site1,14,5,4.49,2023-01-14 05:00:00
site1,14,6,4.55,2023-01-14 06:00:00
site1,14,7,4.52,2023-01-14 07:00:00
site1,14,8,4.72,2023-01-14 08:00:00
site1,14,9,4.81,2023-01-14 09:00:00
site1,14,10,4.62,2023-01-14 10:00:00
site1,14,11,4.62,2023-01-14 11:00:00
site1,14,12,4.66,2023-01-14 12:00:00
site1,14,13,4.59,2023-01-14 13:00:00
site1,14,14,4.76,2023-01-14 14:00:00
site1,14,15,4.82,2023-01-14 15:00:00
site1,14,16,4.83,2023-01-14 16:00:00
site1,14,17,4.84,2023-01-14 17:00:00
site1,14,18,4.81,2023-01-14 18:00:00
site1,14,19,4.84,2023-01-14 19:00:00
site1,14,20,5.04,2023-01-14 20:00:00
site1,14,21,4.95,2023-01-14 21:00:00
site1,14,22,4.74,2023-01-14 22:00:00
site1,14,23,4.48,2023-01-14 23:00:00
site1,15,0,4.155,2023-01-15 00:00:00
site1,15,1,4.155,2023-01-15 01:00:00
site1,15,2,4.05,2023-01-15 02:00:00
site1,15,3,4.07,2023-01-15 03:00:00
site1,15,4,4.14,2023-01-15 04:00:00
site1,15,5,4.45,2023-01-15 05:00:00
site1,15,6,4.65,2023-01-15 06:00:00
site1,15,7,4.52,2023-01-15 07:00:00
site1,15,8,4.63,2023-01-15 08:00:00
site1,15,9,4.64,2023-01-15 09:00:00
site1,15,10,4.58,2023-01-15 10:00:00
site1,15,11,4.61,2023-01-15 11:00:00
site1,15,12,4.29,2023-01-15 12:00:00
site1,15,13,4.6,2023-01-15 13:00:00
site1,15,14,4.7,2023-01-15 14:00:00
site1,15,15,4.76,2023-01-15 15:00:00
site1,15,16,4.7,2023-01-15 16:00:00
site1,15,17,4.68,2023-01-15 17:00:00
site1,15,18,4.76,2023-01-15 18:00:00
site1,15,19,4.88,2023-01-15 19:00:00
site1,15,20,5.0,2023-01-15 20:00:00
site1,15,21,4.86,2023-01-15 21:00:00
site1,15,22,4.77,2023-01-15 22:00:00
site1,15,23,4.5,2023-01-15 23:00:00
site1,16,0,4.49,2023-01-16 00:00:00
site1,16,1,4.32,2023-01-16 01:00:00
site1,16,2,4.13,2023-01-16 02:00:00
site1,16,3,4.17,2023-01-16 03:00:00
site1,16,4,4.19,2023-01-16 04:00:00
site1,16,5,4.32,2023-01-16 05:00:00
site1,16,6,4.51,2023-01-16 06:00:00
site1,16,7,4.68,2023-01-16 07:00:00
site1,16,8,4.91,2023-01-16 08:00:00
site1,16,9,4.99,2023-01-16 09:00:00
site1,16,10,5.07,2023-01-16 10:00:00
site1,16,11,5.0,2023-01-16 11:00:00
site1,16,12,5.05,2023-01-16 12:00:00
site1,16,13,4.89,2023-01-16 13:00:00
site1,16,14,4.82,2023-01-16 14:00:00
site1,16,15,4.95,2023-01-16 15:00:00
site1,16,16,5.02,2023-01-16 16:00:00
site1,16,17,4.89,2023-01-16 17:00:00
site1,16,18,4.87,2023-01-16 18:00:00
site1,16,19,4.89,2023-01-16 19:00:00
site1,16,20,5.0,2023-01-16 20:00:00
site1,16,21,4.91,2023-01-16 21:00:00
site1,16,22,4.9,2023-01-16 22:00:00
site1,16,23,4.56,2023-01-16 23:00:00
site1,17,0,4.36,2023-01-17 00:00:00
site1,17,1,4.23,2023-01-17 01:00:00
site1,17,2,4.14,2023-01-17 02:00:00
site1,17,3,4.06,2023-01-17 03:00:00
site1,17,4,4.16,2023-01-17 04:00:00
site1,17,5,4.37,2023-01-17 05:00:00
site1,17,6,4.58,2023-01-17 06:00:00
site1,17,7,4.68,2023-01-17 07:00:00
site1,17,8,4.76,2023-01-17 08:00:00
site1,17,9,4.84,2023-01-17 09:00:00
site1,17,10,4.85,2023-01-17 10:00:00
site1,17,11,4.9,2023-01-17 11:00:00
site1,17,12,4.83,2023-01-17 12:00:00
site1,17,13,4.79,2023-01-17 13:00:00
site1,17,14,4.8,2023-01-17 14:00:00
site1,17,15,4.89,2023-01-17 15:00:00
site1,17,16,4.83,2023-01-17 16:00:00
site1,17,17,4.89,2023-01-17 17:00:00
site1,17,18,4.91,2023-01-17 18:00:00
site1,17,19,5.0,2023-01-17 19:00:00
site1,17,20,4.96,2023-01-17 20:00:00
site1,17,21,5.05,2023-01-17 21:00:00
site1,17,22,4.91,2023-01-17 22:00:00
site1,17,23,4.63,2023-01-17 23:00:00
site1,18,0,4.42,2023-01-18 00:00:00
site1,18,1,4.19,2023-01-18 01:00:00
site1,18,2,4.16,2023-01-18 02:00:00
site1,18,3,4.15,2023-01-18 03:00:00
site1,18,4,4.16,2023-01-18 04:00:00
site1,18,5,4.41,2023-01-18 05:00:00
site1,18,6,4.54,2023-01-18 06:00:00
site1,18,7,4.47,2023-01-18 07:00:00
site1,18,8,4.54,2023-01-18 08:00:00
site1,18,9,4.63,2023-01-18 09:00:00
site1,18,10,4.64,2023-01-18 10:00:00
site1,18,11,4.63,2023-01-18 11:00:00
site1,18,12,4.58,2023-01-18 12:00:00
site1,18,13,4.63,2023-01-18 13:00:00
site1,18,14,4.62,2023-01-18 14:00:00
site1,18,15,4.74,2023-01-18 15:00:00
site1,18,16,4.81,2023-01-18 16:00:00
site1,18,17,4.9,2023-01-18 17:00:00
site1,18,18,4.88,2023-01-18 18:00:00
site1,18,19,4.96,2023-01-18 19:00:00
site1,18,20,4.97,2023-01-18 20:00:00
site1,18,21,4.89,2023-01-18 21:00:00
site1,18,22,4.63,2023-01-18 22:00:00
site1,18,23,4.47,2023-01-18 23:00:00
site1,19,0,4.19,2023-01-19 00:00:00
site1,19,1,4.16,2023-01-19 01:00:00
site1,19,2,4.16,2023-01-19 02:00:00
site1,19,3,4.12,2023-01-19 03:00:00
site1,19,4,4.17,2023-01-19 04:00:00
site1,19,5,4.41,2023-01-19 05:00:00
site1,19,6,4.46,2023-01-19 06:00:00
site1,19,7,3.93,2023-01-19 07:00:00
site1,19,8,3.71,2023-01-19 08:00:00
site1,19,9,4.56,2023-01-19 09:00:00
site1,19,10,4.6,2023-01-19 10:00:00
site1,19,11,4.62,2023-01-19 11:00:00
site1,19,12,4.53,2023-01-19 12:00:00
site1,19,13,4.64,2023-01-19 13:00:00
site1,19,14,4.78,2023-01-19 14:00:00
site1,19,15,4.76,2023-01-19 15:00:00
site1,19,16,4.85,2023-01-19 16:00:00
site1,19,17,4.83,2023-01-19 17:00:00
site1,19,18,4.96,2023-01-19 18:00:00
site1,19,19,5.06,2023-01-19 19:00:00
site1,19,20,5.07,2023-01-19 20:00:00
site1,19,21,4.99,2023-01-19 21:00:00
site1,19,22,4.72,2023-01-19 22:00:00
site1,19,23,4.46,2023-01-19 23:00:00
site1,20,0,4.25,2023-01-20 00:00:00
site1,20,1,4.16,2023-01-20 01:00:00
site1,20,2,4.17,2023-01-20 02:00:00
site1,20,3,4.14,2023-01-20 03:00:00
site1,20,4,4.21,2023-01-20 04:00:00
site1,20,5,4.41,2023-01-20 05:00:00
site1,20,6,4.66,2023-01-20 06:00:00
site1,20,7,4.74,2023-01-20 07:00:00
site1,20,8,4.72,2023-01-20 08:00:00
site1,20,9,4.72,2023-01-20 09:00:00
site1,20,10,4.86,2023-01-20 10:00:00
site1,20,11,4.98,2023-01-20 11:00:00
site1,20,12,4.81,2023-01-20 12:00:00
site1,20,13,4.66,2023-01-20 13:00:00
site1,20,14,4.64,2023-01-20 14:00:00
site1,20,15,4.65,2023-01-20 15:00:00
site1,20,16,4.79,2023-01-20 16:00:00
site1,20,17,4.91,2023-01-20 17:00:00
site1,20,18,4.77,2023-01-20 18:00:00
site1,20,19,4.96,2023-01-20 19:00:00
site1,20,20,4.97,2023-01-20 20:00:00
site1,20,21,4.97,2023-01-20 21:00:00
site1,20,22,4.79,2023-01-20 22:00:00
site1,20,23,4.65,2023-01-20 23:00:00
site1,21,0,4.4,2023-01-21 00:00:00
site1,21,1,4.35,2023-01-21 01:00:00
site1,21,2,4.34,2023-01-21 02:00:00
site1,21,3,4.36,2023-01-21 03:00:00
site1,21,4,4.39,2023-01-21 04:00:00
site1,21,5,4.42,2023-01-21 05:00:00
site1,21,6,4.61,2023-01-21 06:00:00
site1,21,7,4.54,2023-01-21 07:00:00
site1,21,8,4.7,2023-01-21 08:00:00
site1,21,9,4.63,2023-01-21 09:00:00
site1,21,10,4.63,2023-01-21 10:00:00
site1,21,11,4.68,2023-01-21 11:00:00
site1,21,12,4.64,2023-01-21 12:00:00
site1,21,13,4.62,2023-01-21 13:00:00
site1,21,14,4.84,2023-01-21 14:00:00
site1,21,15,4.96,2023-01-21 15:00:00
site1,21,16,4.7,2023-01-21 16:00:00
site1,21,17,4.9,2023-01-21 17:00:00
site1,21,18,4.85,2023-01-21 18:00:00
site1,21,19,4.85,2023-01-21 19:00:00
site1,21,20,4.96,2023-01-21 20:00:00
site1,21,21,4.99,2023-01-21 21:00:00
site1,21,22,4.85,2023-01-21 22:00:00
site1,21,23,4.47,2023-01-21 23:00:00
site1,22,0,4.26,2023-01-22 00:00:00
site1,22,1,4.06,2023-01-22 01:00:00
site1,22,2,4.17,2023-01-22 02:00:00
site1,22,3,4.16,2023-01-22 03:00:00
site1,22,4,4.14,2023-01-22 04:00:00
site1,22,5,4.52,2023-01-22 05:00:00
site1,22,6,4.73,2023-01-22 06:00:00
site1,22,7,4.61,2023-01-22 07:00:00
site1,22,8,4.64,2023-01-22 08:00:00
site1,22,9,4.68,2023-01-22 09:00:00
site1,22,10,4.66,2023-01-22 10:00:00
site1,22,11,4.75,2023-01-22 11:00:00
site1,22,12,4.75,2023-01-22 12:00:00
site1,22,13,4.66,2023-01-22 13:00:00
site1,22,14,4.94,2023-01-22 14:00:00
site1,22,15,4.88,2023-01-22 15:00:00
site1,22,16,4.92,2023-01-22 16:00:00
site1,22,17,4.85,2023-01-22 17:00:00
site1,22,18,4.64,2023-01-22 18:00:00
site1,22,19,4.74,2023-01-22 19:00:00
site1,22,20,4.87,2023-01-22 20:00:00
site1,22,21,4.89,2023-01-22 21:00:00
site1,22,22,4.81,2023-01-22 22:00:00
site1,22,23,4.63,2023-01-22 23:00:00
site1,23,0,4.52,2023-01-23 00:00:00
site1,23,1,4.36,2023-01-23 01:00:00
site1,23,2,4.32,2023-01-23 02:00:00
site1,23,3,4.17,2023-01-23 03:00:00
site1,23,4,4.17,2023-01-23 04:00:00
site1,23,5,4.34,2023-01-23 05:00:00
site1,23,6,4.61,2023-01-23 06:00:00
site1,23,7,4.87,2023-01-23 07:00:00
site1,23,8,4.8,2023-01-23 08:00:00
site1,23,9,4.79,2023-01-23 09:00:00
site1,23,10,4.64,2023-01-23 10:00:00
site1,23,11,4.63,2023-01-23 11:00:00
site1,23,12,4.88,2023-01-23 12:00:00
site1,23,13,4.88,2023-01-23 13:00:00
site1,23,14,4.71,2023-01-23 14:00:00
site1,23,15,5.02,2023-01-23 15:00:00
site1,23,16,4.73,2023-01-23 16:00:00
site1,23,17,4.88,2023-01-23 17:00:00
site1,23,18,4.81,2023-01-23 18:00:00
site1,23,19,4.84,2023-01-23 19:00:00
site1,23,20,5.02,2023-01-23 20:00:00
site1,23,21,4.86,2023-01-23 21:00:00
site1,23,22,4.8,2023-01-23 22:00:00
site1,23,23,4.58,2023-01-23 23:00:00
site1,24,0,4.43,2023-01-24 00:00:00
site1,24,1,4.24,2023-01-24 01:00:00
site1,24,2,4.13,2023-01-24 02:00:00
site1,24,3,4.19,2023-01-24 03:00:00
site1,24,4,4.15,2023-01-24 04:00:00
site1,24,5,4.31,2023-01-24 05:00:00
site1,24,6,4.59,2023-01-24 06:00:00
site1,24,7,4.74,2023-01-24 07:00:00
site1,24,8,4.74,2023-01-24 08:00:00
site1,24,9,4.71,2023-01-24 09:00:00
site1,24,10,4.72,2023-01-24 10:00:00
site1,24,11,4.8,2023-01-24 11:00:00
site1,24,12,4.71,2023-01-24 12:00:00
site1,24,13,4.86,2023-01-24 13:00:00
site1,24,14,4.8,2023-01-24 14:00:00
site1,24,15,4.78,2023-01-24 15:00:00
site1,24,16,4.74,2023-01-24 16:00:00
site1,24,17,4.8,2023-01-24 17:00:00
site1,24,18,4.82,2023-01-24 18:00:00
site1,24,19,4.78,2023-01-24 19:00:00
site1,24,20,4.9,2023-01-24 20:00:00
site1,24,21,4.9,2023-01-24 21:00:00
site1,24,22,4.75,2023-01-24 22:00:00
site1,24,23,4.38,2023-01-24 23:00:00
site1,25,0,4.27,2023-01-25 00:00:00
site1,25,1,4.19,2023-01-25 01:00:00
site1,25,2,4.16,2023-01-25 02:00:00
site1,25,3,4.16,2023-01-25 03:00:00
